id,category,mvp_group,seed,problem_or_opportunity,solution_approach,is_offline_store,llm_expected_primary,llm_expected_primary_name,llm_expected_secondary,llm_expected_note,llm_why,auto_check,search_rank_of_expected,사람_확정_primary,사람_확정_secondary,사람_확정_note,사람_검수완료
D0061,명확단일,앱·플랫폼·소프트웨어,블록체인 기반 디지털 아트(캐릭터) NFT 마켓플레이스 운영 플랫폼,"디지털 아티스트는 저작권 관리 및 2차 거래 수익 배분을 자동화할 마켓이 필요하고, 구매자는 안전한 거래·에스크로 기능을 원함.","사용자가 디지털 아트를 NFT로 발행(민팅)하고 매매할 수 있는 웹·스마트컨트랙트 기반 플랫폼을 개발·운영. 거래 수수료(매매 시 %) 및 민팅 수수료로 수익 창출. 지갑 연동, 보관 서비스 제공.",False,724002,가상자산 매매 및 중개업,724002,가상자산(디지털자산) 매매 및 중개 플랫폼 운영,플랫폼이 NFT(블록체인 기반 가상자산)의 발행·매매를 중개하고 거래 보관·관리 서비스를 제공하므로 '가상자산 매매 및 중개업(724002)'이 맞음.,OK,1,,,,
D0062,명확단일,앱·플랫폼·소프트웨어,지역 특화 채용·구인구직 포털(프리랜서 매칭 기능 포함),"특정 지역(예: 부산) 연고의 구직자·구인업체는 대형 포털의 전국 단위 서비스보다 지역 특화 일자리 정보를 원하며, 프리랜서 단기 채용 수요도 증가 중.","지역 기업과 구직자를 연결하는 웹·모바일 포털 서비스를 제공하고, 프리미엄 공고·배너광고·이력서 열람 유료 상품으로 수익화. 사용자 커뮤니티와 뉴스레터 운영으로 트래픽 확보.",False,642004,포털 및 기타 인터넷 정보 매개 서비스업,642004,인터넷 포털 형태의 정보 매개 및 커뮤니티 서비스,검색·정보 제공·커뮤니티 기능을 통해 이용자에게 지역 일자리 정보를 매개하고 광고·유료상품을 파는 포털 서비스로 '포털 및 기타 인터넷 정보 매개 서비스업(642004)'이 적합함.,OK,1,,,,
D0063,명확단일,앱·플랫폼·소프트웨어,핸드메이드 공예품 C2C 전자상거래 플랫폼(판매자 수수료 기반),"개별 공예작가는 자체 쇼핑몰 구축 비용 부담이 크고, 온라인 노출이 어려워 중앙화된 마켓플레이스에서 저비용으로 판매하고 싶어함.",셀러(작가) 계정을 받아 상품 페이지를 제공하고 결제·배송 연동을 통해 일반 소비자 대상의 온라인 소매 거래를 중개. 판매가의 일정 비율을 수수료로 취득하며 프리미엄 노출 유료 옵션 제공.,False,525103,전자상거래 소매 중개업,525103,SNS/플랫폼을 통한 일반 소비자 대상 전자상거래 중개,플랫폼이 판매자와 일반 소비자를 연결해 온라인 소매 거래를 중개하는 형태로 '전자상거래 소매 중개업(525103)'에 해당함.,OK,2,,,,
D0064,명확단일,앱·플랫폼·소프트웨어,도심 상권의 오프라인 소프트웨어·PC 주변기기 소매점 (라이선스·패키지 판매),"고령층 소상공인과 일부 기업고객은 온라인 구매에 익숙치 않아 오프라인 매장에서 소프트웨어 패키지(안티바이러스, 오피스 등)와 주변기기 구입·설치를 원함.","오프라인 매장을 통해 범용 소프트웨어 패키지(오피스, 안티바이러스 등)와 주변기기(프린터, 외장하드)를 직접 판매하고 설치·설정 서비스를 추가 유료 제공. 매장 기반 소매 영업.",True,523531,"컴퓨터 및 주변장치, 소프트웨어 소매업",523531,범용 소프트웨어 및 주변기기 소매업(오프라인 매장 포함),"매장을 통해 일반 소비자에게 범용 소프트웨어와 주변기기를 소매로 판매하는 활동으로 '컴퓨터 및 주변장치, 소프트웨어 소매업(523531)'이 적절함.",OK,1,,,,
D0065,명확단일,앱·플랫폼·소프트웨어,중소 리셀러 대상 소프트웨어 라이선스 대량 도매 유통,소프트웨어 개발사와 최종 판매처(중소 리셀러) 사이에 라이선스 대량 구매·할인 판매를 전문으로 하는 유통 채널 수요가 있음.,해외·국내 소프트웨어 개발사로부터 정식 라이선스(볼륨 라이선스)를 도매로 매입하여 지역 리셀러·기업에 대량 납품. 인보이스·계약 기반 B2B 판매로 수익 확보.,False,515050,"컴퓨터 및 주변장치, 소프트웨어 도매업",515050,소프트웨어 및 관련 장비를 도매로 유통하는 활동,"다양한 소프트웨어 제품을 도매로 구매하여 리셀러나 기업에 공급하는 도매업 활동으로 '컴퓨터 및 주변장치, 소프트웨어 도매업(515050)'이 맞음.",OK,1,,,,
D0066,명확단일,앱·플랫폼·소프트웨어,서버 운영·네트워크용 시스템 소프트웨어(미들웨어/관리툴) 개발 회사,호스팅·클라우드 사업자는 서버 모니터링·자동화·컨테이너 오케스트레이션을 통합한 경량 시스템 소프트웨어(미들웨어)를 원함. 상용화 가능성 높음.,"서버·네트워크 환경에서 동작하는 시스템 소프트웨어(에이전트, 미들웨어, 서버관리 데몬)를 개발하여 라이브러리·설치 패키지 형태로 기업 고객에 공급하고, 설치·지원 계약으로 수익화.",False,722004,시스템 소프트웨어 개발 및 공급업,722004,하드웨어/서버에서 동작하는 시스템 소프트웨어 개발·공급,하드웨어나 서버 등의 환경에서 동작하는 시스템 소프트웨어(운영·관리 소프트웨어)를 개발해 공급하는 활동으로 '시스템 소프트웨어 개발 및 공급업(722004)'에 해당함.,OK,1,,,,
D0067,명확단일,교육·콘텐츠,초등 교과 연계 수준별 수학 워크북 시리즈 출판,초등 교과 과정은 학년별로 표준화되어 있으나 수준별(기초·중간·심화) 연습문제와 교사용 해설지를 함께 제공하는 출판물이 부족해 학부모와 학교의 보충학습 수요가 높음.,"학년별·단원별 수준 구분 워크북(인쇄본)과 교사용 해설서, PDF 다운로드 및 정기 구독형 문제은행을 기획·편집·인쇄·출판하여 온라인 직판과 학교·인쇄물 유통망을 통해 판매. 교사용 판촉 패키지 및 학교 대량구매 계약으로 수익화.",False,221103,교과서 및 학습 서적 출판업,,교과 관련 학습지·참고서 등 출판에 해당,초·중·고 교과 관련 학습지·참고서를 기획·출판하여 판매하므로 '교과서 및 학습 서적 출판업(221103)'에 해당.,OK,3,,,,
D0068,명확단일,교육·콘텐츠,지역 기행·관광 에세이 및 지역문화 단행본 출판,지방 소규모 작가와 지역문화 기록물을 전문적으로 발굴·출간하는 출판사가 적어 지역 관련 인쇄물 수요가 존재함.,"지역 작가의 기행문, 역사 에세이, 지역문화 조사 리포트 등을 편집하여 단행본(종이책, 전자책)으로 제작·인쇄·유통. 온라인 서점과 독립서점, 지역 관광지와 연계한 판매로 수익 창출.",False,221100,일반 서적 출판업,,일반 서적(교재·학습서 제외) 출판업,서적 성격의 다양한 단행본을 기획·출판하므로 '일반 서적 출판업(221100)'이 적절.,OK,14,,,,
D0069,명확단일,교육·콘텐츠,인디 뮤지션 음원·앨범 기획·제작·출판 레이블,"독립 음악가들이 디지털·물리 음반 유통, 저작권 관리, 음원 출판 서비스를 필요로 함. 로컬 광고·드라마 삽입 등 라이선스 수요도 존재.","녹음·마스터링·저작권 등록을 포함한 음원 제작 서비스 제공 후 음원·앨범을 레이블 명의로 직접 출판(스트리밍, 다운로드, CD/LP 유통), 방송·광고·게임용 라이선스 판매로 수익화.",False,221300,음악 및 기타 오디오물 출판업,,음악 및 오디오 기록물의 기획·제작·출판,음원을 기획·제작하여 직접 출판·유통하고 라이선스하는 활동은 '음악 및 기타 오디오물 출판업(221300)'에 해당.,OK,1,,,,
D0070,명확단일,교육·콘텐츠,웹툰 연재작 모음 단행본·작품집 출판,"웹툰 플랫폼에서 인기 있는 연재작을 오프라인 단행본으로도 소장하려는 독자 수요가 있으며, 일부 작가는 단행본 출간 채널이 필요함.",웹툰 원고를 편집·재구성해 단행본(종이책)과 전자책으로 제작·출판하고 굿즈와 번들 패키지로 판매. 온·오프라인 서점 및 웹툰 플랫폼과의 제휴 판매를 통해 수익화.,False,221104,만화 출판업,,만화 단행본 출판,만화를 전문적으로 출판하여 단행본을 판매하므로 '만화 출판업(221104)'이 타당.,OK,1,,,,
D0071,명확단일,교육·콘텐츠,맞춤 캘린더·엽서·포토북 등 디자인 인쇄물 출판사,"기업·브랜드와 개인이 이벤트용·판촉용으로 소량 맞춤 인쇄물(캘린더, 엽서, 포토북 등)을 대량으로 지속 발주하나 디자인·출판업체가 전문적으로 기획·발행해주길 원함.","캘린더, 판촉용 포토북, 아트 포스터, 엽서 세트 같은 기타 인쇄물 기획·디자인·인쇄하여 정기 카탈로그로 발행하고 기업 판촉 패키지로 납품 및 소비자 직판으로 판매.",False,221900,기타 인쇄물 출판업,,사진·엽서·캘린더 등 기타 인쇄물 출판,"사진집, 캘린더, 엽서 등 출판물 성격의 인쇄물을 발행·판매하므로 '기타 인쇄물 출판업(221900)'에 해당.",OK,10,,,,
D0072,명확단일,교육·콘텐츠,직장인 대상 실무형 SQL·데이터분석 온라인 강의 플랫폼,현업에서 바로 활용 가능한 실습 중심 데이터 역량을 온라인으로 단기·집중 학습하려는 직장인 수요가 지속적으로 증가함.,"동영상 강의, 실습용 가상환경, 주간 라이브 세션과 과제 채점 시스템을 포함한 강의 콘텐츠를 자체 제작·플랫폼에서 제공하고, 구독·코스별 유료 판매와 기업 단체 라이선스 판매로 수익화.",False,809016,온라인 교육학원,,온라인 강의 내용물을 제작·보유하고 인터넷으로 교육하는 학원형 서비스,강의 콘텐츠를 제작·보유하여 통신·인터넷으로 교육을 제공하므로 '온라인 교육학원(809016)'이 적절.,OK,2,,,,
D0073,명확단일,교육·콘텐츠,청소년 대상 파이썬·인공지능 실습형 오프라인 학원,"중고등학생의 AI·코딩 관심은 높지만 실습 시설(PC, 서버)과 과정을 갖춘 지역 오프라인 학원이 드물어 실습 중심 교육 수요가 존재함.","교실형 실습실을 갖춘 학원에서 소규모 실습 위주 파이썬, 머신러닝 프로젝트 반을 운영하고 학원 수강료(월정액·단기캠프)로 수익을 얻음. 방학 특강과 대회 대비반도 운영.",True,809013,컴퓨터 학원,,컴퓨터 프로그래밍·운영 등 컴퓨터 교육을 수행하는 학원,"오프라인 실습형 컴퓨터 교육(프로그래밍, AI)을 제공하는 학원으로 '컴퓨터 학원(809013)'에 해당.",OK,1,,,,
D0074,명확단일,교육·콘텐츠,외국인 대상 한국어 회화·TOPIK 대비 학원,"유학·취업·비자 사유로 한국어 실력 향상을 원하는 외국인 학습자가 꾸준히 있으며, 맞춤형 회화·시험 대비반 수요가 높음.","오프라인 강의(소그룹 회화)와 시험 대비(모의고사, 첨삭) 과정을 운영하고, 장기과정·단기집중과정을 수강료 기반으로 판매. 온라인 보충 수업도 병행하나 학원 중심 서비스.",True,809017,외국어학원,,외국어(한국어 포함) 교육을 제공하는 학원,외국어 회화 및 시험 대비 교육을 제공하므로 '외국어학원(809017)'에 해당.,OK,2,,,,
D0075,명확단일,교육·콘텐츠,지역 소규모 피아노·바이올린 개인 레슨 학원,아동·청소년을 대상으로 한 1:1 악기 개인 레슨 수요는 지역 커뮤니티에서 꾸준하나 전문 교습 기관이 제한적임.,"개인·소그룹 레슨(피아노, 바이올린)과 연주회·학원 내부 평가 시스템을 운영하여 수강료로 수익을 창출. 악기 대여·수업용 악보 판매 등 부가 서비스 제공.",True,809009,음악학원,,음악(피아노·현악 등) 교육을 하는 학원,피아노·바이올린 등 음악 실기와 이론을 교습하는 활동은 '음악학원(809009)'에 해당.,OK,10,,,,
D0076,명확단일,교육·콘텐츠,영유아 발달 놀이법 1인 유튜브 채널 운영,"맞벌이 가정과 젊은 부모층에서 집에서 할 수 있는 발달 놀이법과 짧은 교육 콘텐츠 수요가 높고, 신뢰도 있는 육아 콘텐츠 크리에이터에 대한 수요가 있음.","교육적 놀이 영상(10–15분), 월간 유료 멤버십(추가 PDF·활동지 제공), 협찬·광고·브랜드 제휴를 통한 수익화. 개인 채널로 콘텐츠를 직접 기획·촬영·편집하여 업로드.",False,940306,1인미디어콘텐츠창작자,,1인 미디어 콘텐츠 창작자로서 영상 콘텐츠 제작·유통,개인이 기획·제작한 미디어 콘텐츠를 유튜브 등에서 창작·유통하며 수익을 얻으므로 '1인미디어콘텐츠창작자(940306)'에 해당.,OK,1,,,,
D0077,명확단일,교육·콘텐츠,학교·에듀테크 기업 대상 교육용 애니메이션·숏폼 영상 제작 스튜디오,"학교와 교육기업은 수업용·마케팅용 맞춤형 교육 영상(애니메이션, 인터랙티브 숏폼)을 외주로 제작하길 원하나 전문 제작사가 제한적임.","교수설계팀과 애니메이션 제작팀을 갖추고, 교육과정에 맞춘 2–5분 학습용 애니메이션 및 숏폼 콘텐츠를 주문형으로 제작해 제작비·라이선스 수익을 얻음. 완성물은 고객에게 납품 및 별도 LMS 연동 서비스 제공.",False,921505,미디어콘텐츠창작업,,미디어 콘텐츠(교육용 영상) 창작 및 제작 서비스,교육용 영상물을 기획·제작하여 기업·학교에 납품하는 제작업으로 '미디어콘텐츠창작업(921505)'이 적절.,OK,2,,,,
D0078,유사경계,카페·음식점,스페셜티 원두 소량 로스팅 스튜디오 겸 카페,"지역 카페·개인 소비자들이 신선한 소량 로스팅 싱글오리진 원두를 원하지만 대형 로스터에서 소량 주문을 받기 어렵고, 로스팅 품질·원두 이력에 민감함.","자가 소형 로스터로 1~5kg 단위 소량 로스팅하여 포장한 원두를 온라인과 매장(테이스팅 바)에서 판매하고, 지역 카페에 소량 도매(주간 공급)로 납품. 매장에서는 에스프레소·핸드드립을 제공해 브랜드 노출을 확대.",True,154901,커피 가공업,552303,주된 수익이 포장·가공된 원두 판매(포장제품 생산 및 도매)라면 '커피 가공업(154901)'이 원칙적 분류. 매장 제공은 부수적.,원두를 직접 볶아 포장·판매하고 도매 납품이 주요 매출원이라 제조업(커피 가공업)이 적절. 다만 매장(테이스팅·음료 제공) 비중이 크면 커피전문점(552303)으로 보일 수 있어 유사경계가 발생.,검색밖,,,,,
D0079,유사경계,카페·음식점,착즙·콜드프레스 주스 제조 및 정기배송 서비스,"건강 지향 소비자들이 보존제가 없는 콜드프레스 주스를 원하지만, 소포장·정기배송을 안정적으로 제공하는 지역 제조 기반이 부족함.",소규모 HACCP 시설에서 과일을 착즙·저온살균해 PET/유리병에 포장하여 정기구독(주간·월간)으로 배송. 소량은 직영 픽업창구와 온라인몰에서 판매.,False,155401,기타 비알코올 음료 제조업,522093,병입·포장하여 유통·정기배송하는 경우 '기타 비알코올 음료 제조업(155401)'으로 분류. 단 매장 판매 비중이 높으면 음료 소매(522093)로 해석 가능.,원료를 가공해 병입·판매하고 정기배송·유통을 하는 점에서 제조업적 성격이 강함. 다만 소비자 대상 즉석 제조·판매(즉석 음료 제공)가 주력이라면 소매업 코드가 더 적합할 수 있음.,검색밖,,,,,
D0080,유사경계,카페·음식점,옥상에서 허브·차류를 재배해 직접 음료에 활용하고 소형화분을 함께 파는 카페,"도심 소비자들이 '직접 기른 허브'로 만든 신선한 허브티·음료를 원하고, 체험형 구매(화분 구매)를 선호함.","카페에서 제공하는 음료(허브차, 허브라떼 등)에 옥상에서 재배한 바질·레몬밤·애플민트를 사용하고, 소량의 화분(재배용 묘목)을 매장에서 함께 판매. 주된 매출은 음료·테이블 서비스.",True,552303,커피 전문점,011005,매장 방문객에게 음료 제공이 주된 활동이면 '커피전문점(552303)'. 허브 재배는 부수적 영업활동(011005).,"옥상 재배는 부가 활동으로, 주요 활동이 접객시설에서 음료 제공이라 커피전문점으로 분류된다. 반대로 재배·화분 판매가 주수입원이라면 작물 재배업(011005)으로 판단될 여지가 있음.",OK,4,,,,
D0081,유사경계,카페·음식점,이동형 스페셜티 커피 카트(푸드트럭 유사) — 이벤트·사무실 정기 출점,행사·사무실 단체에서 빠르고 품질 좋은 에스프레소·핸드드립을 원하는데 상시 고정 매장이 없는 수요가 많음.,"이동식 카트를 이용해 현장에서 직접 원두를 추출해 판매하고, 브랜드 원두 소포장(100g)도 현장 판매 및 온라인으로 병행. 정기 출점 계약으로 B2B 이벤트 서비스를 제공.",False,552308,이동 음식점업,552303,이동형으로 현장에서 즉석 조리·판매하는 경우 '이동 음식점업(552308)'. 브랜드 음료 전문점 성격도 있으므로 커피전문점이 보조 후보.,고정된 접객시설이 없고 이동식으로 판매하므로 이동 음식점업 코드가 우선. 다만 제품·서비스가 커피전문점과 동일하므로 행정상 또는 세무상 혼동 가능.,OK,4,,,,
D0082,유사경계,카페·음식점,테이블 좌석이 있는 소규모 제빵·샌드위치 카페(직접 제빵),동네 상권에서 매일 갓 구운 빵과 함께 고품질 커피를 함께 소비하려는 고객이 많아 베이커리와 카페를 결합한 형태가 유망함.,"매장 내에 제빵 설비를 두고 빵·케이크를 직접 굽고, 그 빵으로 만든 샌드위치와 에스프레소 기반 음료를 제공. 구운 빵의 테이크아웃 판매 비중이 크고 좌석·테이블을 제공.",True,552301,제과점업,552303,직접 제빵 생산 및 소매(즉석제조 판매)가 주된 경우 '제과점업(552301)'. 커피 제공이 주가 되면 커피전문점으로 분류될 수 있음.,직접 구운 빵의 판매가 주요 활동이면 제과점업으로 분류. 그러나 좌석을 갖춘 카페 형식으로 음료 매출이 더 크면 커피전문점(552303)으로 해석될 여지가 있어 경계가 있음.,OK,12,,,,
D0083,유사경계,카페·음식점,공방형 콤부차·수제 탄산음료 생산자 겸 소형 테이스팅룸,"수제 발효 음료(콤부차·저당 탄산음료)를 찾는 소비자는 늘지만, 대량 생산 설비가 아닌 소규모 병입 생산을 원하는 소비자도 존재함.","작은 발효 탱크로 콤부차를 제조해 병입·라벨링하고, 매장 내 테이스팅 바에서 시음·판매와 소매 포장 판매를 병행. 일부는 로컬 카페에 도매 공급.",True,155402,기타 비알코올 음료 제조업,552307,발효·병입하여 제품화하는 경우 '기타 비알코올 음료 제조업(155402)'. 테이스팅룸은 부수적 소매점 활동(비알코올 음료점)으로 보일 수 있음.,원료를 발효·병입하여 상품을 생산·유통하는 점에서 제조업 성격이 주요하다. 다만 소비자 대상 즉석 제공(시음·테이스팅) 비중이 크면 비알코올 음료점(552307)으로 혼동될 수 있음.,OK,12,,,,
D0084,유사경계,카페·음식점,무인(배달전용) 콜드브루 제조·포장·온라인 구독·유통 서비스,"사무실·개인 소비자들이 편하게 고농축 콜드브루를 정기구독으로 배송받고 싶어하지만, 동네 카페에서는 대량 공급과 정기배송이 어렵다.","소규모 공장에서 원두 추출 후 필터링·병입해 라벨링하고, 온라인 구독으로 정기 배송 및 편의점·리테일 유통에 납품. 고객 문의는 온라인으로 처리하고 점포는 없음.",False,155401,기타 비알코올 음료 제조업,522093,병입·유통·납품이 주된 활동이라 '기타 비알코올 음료 제조업(155401)'이 적합. 소비자 직접 소매(무인판매기 등)가 주라면 음료 소매 코드 고려.,제품을 공정(추출·병입)해 유통·구독으로 판매하는 제조업적 성격이 강하다. 반면 점포 없이 소비자 대상 소매(배달·무인판매)에만 집중하면 음료 소매업(522093 계열) 판단 근거가 될 수 있어 경계가 남음.,검색밖,,,,,
D0085,유사경계,소매(오프라인·온라인),Q1: 맞춤 목재 창호(창틀) 제작·판매 및 현장 설치 서비스,"노후 건물의 창호 교체 수요가 늘고 있으나 지역 내에서 맞춤형 창호를 직접 구매·설치할 수 있는 소매 채널이 적고, 소비자는 창호 재질·단열 성능을 비교하기 어려움.","매장 뒤편의 소형 작업장에서 주문에 따라 목재 창호(창틀·창문틀)를 제작하고, 매장에서 일반 소비자에게 창호 제품(단창·복층유리 포함), 실링·페인트, 창호용 부속(레일·손잡이 등)을 소매로 판매한다. 추가로 현장 측정·설치 서비스를 유상 제공하여 설치까지 원스톱으로 처리한다.",True,523491,"페인트, 창호 및 기타 건설자재 소매업",523331,건설자재(창호)를 일반 소비자에게 소매·설치하는 경우 건설자재 소매업(523491)으로 분류되는 것이 적절. 목재 제작 비중이 높아 가구업(523331)으로 오분류될 수 있음.,업무가 제조(제작)와 소매(매장 판매·설치)를 동시에 포함한다. 핵심은 주로 누구에게 어떤 품목을 판매하느냐임: 일반 소비자 대상 창호·건설자재를 전문 소매하면 523491. 만약 제품군이 의자·장식장 같은 가구 중심으로 판매·제작된다면 523331(가구 소매)이 더 적절해 보인다.,OK,4,,,,
D0086,유사경계,소매(오프라인·온라인),Q1: 중고·리퍼 스마트폰 온라인 판매 및 OS 재설치·보증 서비스,"신규 스마트폰 가격 부담으로 중고·리퍼 수요가 증가하나, 소비자는 성능·안전성(악성코드 등)을 우려함. 온라인으로 합리적 가격에 보증을 제공하면 시장 확보 가능.","중고폰을 매입해 화면·배터리·카메라를 교체·정비(부품 교환), 운영체제를 클린 설치한 뒤 온라인 쇼핑몰과 마켓플레이스에서 소비자에게 판매한다. 6개월 보증과 유상 A/S, 액세서리(케이스·충전기)도 병행 판매.",False,523390,가전제품 소매업,523954,가정용 전기·전자기기(스마트폰 포함)를 소비자에게 소매하면 가전제품 소매업(523390). 단순 중고수집·판매 등 기타 전문 소매(523954)로 오인될 수 있음.,핵심은 최종 판매 품목이 가전(휴대폰)이며 소비자 대상 소매인 점. 리퍼·정비 행위가 포함되어도 주된 활동이 전자기기 소매이면 523390. 반면 '중고품 수집·단순 판매'에 초점이면 기타 전문 소매 코드가 논리적으로 보인다.,검색44위,44,,,,
D0087,유사경계,소매(오프라인·온라인),Q1: 수입 가죽가방 전문 소매점(수선·부분 맞춤 서비스 포함),프리미엄 수입 가방을 원하는 소비자는 많지만 정품 취급·수선 서비스를 제공하는 전문 매장이 적음. 수선·클리닝을 결합하면 충성 고객 확보 가능.,"유명 브랜드(또는 수입 수제) 가죽가방을 수입하여 오프라인 매장에서 소매하고, 가방 스트랩 교체·지퍼 수리·가죽 클리닝 같은 경미한 수선 및 맞춤 악세서리(내부 파티션 등)를 유상으로 제공한다.",True,523993,가방 및 기타 가죽제품 소매업,523954,가방 및 기타 가죽제품을 전문 소매하면 523993. 수선·수리 서비스를 병행하는 경우에도 주업이 소매라면 이 코드가 맞음.,판매 품목이 '가방'으로 명확하므로 가방 소매업(523993)이 적절하다. 다만 소수의 수선·제작(공방) 비중이 크거나 자체 제작 비중이 커지면 '기타 상품 전문 소매' 또는 제조 업종으로 재분류될 여지가 있어 혼동될 수 있다.,OK,2,,,,
D0088,유사경계,소매(오프라인·온라인),Q1: 재생 금속 수집·선별 후 아트 가구·소품 제작 및 직판(온라인 병행),"산업 폐기물·스크랩을 활용한 업사이클 제품 수요 증가와 함께, 재생자재의 판매 채널(원자재·가공품 모두)에 접근할 수 있음.","건설현장·공장 등에서 재생 가능한 금속 스크랩을 수집·선별해 재생 자재로 판매(플랜트·재활용업체 대상)로 안정적 수익을 확보하고, 선별된 자재 일부는 스튜디오에서 가공해 아트 가구·인테리어 소품으로 제작·직판(온라인 마켓, 팝업스토어)한다.",False,514971,재생용 재료 수집 및 판매업,523311,수집·판매(재생용 재료)가 주된 활동이라면 재생용 재료 수집 및 판매업(514971). 가공비중이 주가 되어 가구 소매가 핵심이면 523311로 보일 수 있음.,사업이 스크랩(재생자재) 수집·판매를 기반으로 하면서 부수적으로 가공·판매를 병행하면 '재생용 재료 수집 및 판매업'으로 분류된다. 반면 가공·제작한 가구 판매가 주수입원이라면 가구 소매업(523311)으로 보는 것이 합리적이어서 경계가 혼동된다.,OK,2,,,,
D0089,유사경계,소매(오프라인·온라인),Q1: 이동식 베이커리 트럭(차량 내 소량 제조·구운 빵 직판과 정기 배달),"상가 밀집지역의 아침 시간대 신선한 제과류 접근성 부족, 상가 월세 부담으로 고정 매장 창업이 어려운 창업자 대상 진입 장벽 낮춤.","제빵 트럭 한 대로 도심 주거·상업 지역을 순회하며 갓 구운 빵과 페이스트리를 즉석 판매하고, 아침 시간대 정기 구독형 배송(기업·카페 대상)을 운영한다. 차량 기반으로 이동 판매하며 가공·제조는 트럭 내부에서 소량으로 진행.",False,525912,그 외 기타 무점포 소매업,522061,차량을 이용해 구역을 이동하며 판매하는 경우 무점포(이동) 소매업(525912). 고정 점포에서 빵을 제조·판매하는 전형적 제과 소매업(522061)으로 혼동될 수 있음.,"트럭에서 직접 제조하는 점 때문에 제조와 소매의 경계가 애매하지만, '이동 판매'가 사업의 채널적 특징이면 무점포 소매업(525912)으로 분류. 반면 고정 매장에서 제과를 제조해 소매하는 경우 522061이 적절하다.",검색밖,,,,,
D0090,유사경계,소매(오프라인·온라인),Q1: 소형 광학·정밀기기 전문 매장(현미경·검사 렌즈) 및 계측·보정 서비스,"대학·연구실·소형 제조업체가 저가형부터 중급형 광학장비를 필요로 하나, 현지에서 구입·교정·정밀보정 받기 어려움.","현미경·착용형 렌즈·카메라용 매크로 렌즈 등 광학기기를 소매로 판매하고, 렌즈 정렬·계측기기 보정·클리닝·간단 수리를 유상으로 제공한다. 제품은 소비자 및 소규모 연구기관 대상.",True,523552,기타 광학 및 정밀 기기 소매업,523954,광학·정밀기기 판매 및 보정 서비스가 결합된 경우 기타 광학 및 정밀 기기 소매업(523552). 단순히 '특수상품 소매'로 분류되기 쉬움.,광학기기 판매가 주된 활동이면 523552가 맞다. 서비스(보정·수리)가 비중을 크게 차지하면 '서비스업' 또는 기타 전문 소매로 오인될 수 있어 경계가 애매하다.,OK,4,,,,
D0091,유사경계,소매(오프라인·온라인),Q1: 중소기업 대상 인터넷·전화 회선 임대(기간통신 사업자로부터 회선 임차 후 재판매),"중소기업은 유연한 통신 요금제와 SIP/클라우드 전화 솔루션을 원하나, 대형 사업자의 표준 요금제가 맞지 않는 경우가 많음.","기간통신사업자로부터 회선과 트렁크를 임차해 SIP·VoIP 회선과 선불 통화 패키지를 온라인으로 판매하고, 고객 지원·요금제 커스터마이징 서비스를 제공한다(자체 회선 구축 없음).",False,642002,통신 재판매업,523390,기간통신사업자로부터 회선을 임차해 재판매하면 통신 재판매업(642002). 전자기기(통신장비) 소매로 오해될 수 있음.,핵심은 '회선 재판매'라는 점으로 통신 재판매업(642002)이 정확하다. 다만 외관상 고객에게 통신 관련 상품(심지어 기기)을 파는 형태로 보이면 전자기기 소매업(523390)으로 잘못 분류될 수 있다.,검색밖,,,,,
D0092,유사경계,소매(오프라인·온라인),Q1: 주방용 도자기(수공예 그릇) 매장 겸 주문제작 스튜디오,카페·레스토랑과 감각 있는 가정 고객은 개성 있는 도자기 세트를 원하지만 대량생산품은 차별화에 한계가 있음.,"기성 재고(접시·머그·볼 등)와 소량 수공예 도자기를 매장에서 소매하고, 고객 주문을 받아 로고 인쇄·맞춤 유약 작업 후 소량 주문 제작(소비자·업소 대상)해 납품한다. 오프라인 쇼룸과 소규모 작업장(가마) 병행.",True,523422,"주방용품 및 가정용 유리, 요업제품 소매업",523954,주방용 유리·요업제품을 소비자에게 소매하면 523422. 자체 제작 주문 비중이 크면 기타 전문 소매나 제조로 오해될 수 있음.,판매 품목이 주방용 요업제품으로 명확하므로 523422가 적합하다. 다만 매장에서 직접 제조(가마)해 대량 생산·도매가 주업이면 제조업 성격으로 바뀔 수 있어 경계가 될 수 있다.,검색21위,21,,,,
D0093,유사경계,생활서비스(미용·수리·세탁 등),중고·수리 병행 컴퓨터 수리 및 리퍼비시 온라인 판매,"개인·소규모 사무실에서 고장 난 노트북·데스크탑과 주변기기를 빠르게 수리받고, 저렴한 리퍼비시 제품을 온라인으로 구매하려는 수요가 늘고 있음. 폐기되는 부품을 재활용해 수익을 올릴 기회 존재.","수리 워크숍에서 노트북·데스크탑·모니터·키보드 등 컴퓨터 및 주변기기를 수리·진단하고, 고장 부품을 교체한 리퍼비시 제품을 자체 온라인몰과 오픈마켓에 판매. 출장 수리와 수거·배송 서비스 병행.",True,725000,컴퓨터 및 주변 기기 수리업,922103,"주요 활동이 컴퓨터 및 주변기기(노트북, 데스크탑, 모니터 등)를 전문적으로 수리하고 리퍼비시 판매를 병행하므로 컴퓨터 및 주변기기 수리업(725000)이 적절. 다만 전자기기 일반 수리(922103)로 혼동될 수 있음.",서비스의 핵심은 컴퓨터·주변기기 전문 수리와 리퍼비시 판매(컴퓨터 분야 특화)이므로 725000이 맞음. 922103은 전자·정밀 기기 전반을 포괄하므로 오답으로 보일 수 있음.,OK,1,,,,
